2021/12/15 12:41:20; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0MzI3OSwiZXhwIjoxNjM5NjI5Njc5fQ.eyJ1c2VybmFtZSI6InFwYiJ9.Cx-YQm0We-NxoeObmphi84r7ATRRFS7S8Ekyii0GkntZoQa7PFfck4hgd3Ax5V7YeUVrR7ErWdulOvKTJf6xYQ
2021/12/15 12:42:44; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0MzM2NCwiZXhwIjoxNjM5NjI5NzY0fQ.eyJ1c2VybmFtZSI6InFwYiJ9.jLlidVFL3e_CwrnL8ftCCHFwbcU42jm1MnQk_jH89MNFT6hxXeDywCKjI2OAxMRmdJGSBqsJvoUMehDDtIeaFg
2021/12/15 12:43:02; Get report; Failed; 200; ;LookupError('unknown encoding: Unicode')
2021/12/15 12:43:02; Get Task List; Success; 200; 200; page=1 limit=1000 keywords= sortby=0 taskstatus=3; get task list success! task list size=50
2021/12/15 12:43:02; Findout FW; Success; ; ; taskname= ; found 50 taskid by tasknametask id list = 85, 84, 83, 82, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 55, 53, 50, 49, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 29, 27, 21, 20, 15, 14, 13, 12, 11, 10, 9
2021/12/15 12:43:02; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 12:47:07; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0MzYyNywiZXhwIjoxNjM5NjMwMDI3fQ.eyJ1c2VybmFtZSI6InFwYiJ9.cW70BZqBtDexeHZQdcTyRV2v-LLl_xqOf1bU7rxsMH3Y0JwB2kCVvGKIAMzdls-O1rPukDuqcbYmprYu7vUGdQ
2021/12/15 12:49:32; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0Mzc3MSwiZXhwIjoxNjM5NjMwMTcxfQ.eyJ1c2VybmFtZSI6InFwYiJ9.l9whXEO0ywKj5Yj1pqPb_2sXISQte_pzfeCpj6aqjlPwHp2nFSQaIq6zM_FgNKKzMBFbvvN-Kq3LwXlHZRUbRg
2021/12/15 12:49:46; Get report; Success; 200; ;Get report success!
2021/12/15 12:49:46; Get Task List; Success; 200; 200; page=1 limit=1000 keywords= sortby=0 taskstatus=3; get task list success! task list size=50
2021/12/15 12:49:46; Findout FW; Success; ; ; taskname= ; found 50 taskid by tasknametask id list = 85, 84, 83, 82, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 55, 53, 50, 49, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 29, 27, 21, 20, 15, 14, 13, 12, 11, 10, 9
2021/12/15 12:49:46; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 12:50:28; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0MzgyNywiZXhwIjoxNjM5NjMwMjI3fQ.eyJ1c2VybmFtZSI6InFwYiJ9.Cpo9eo6I0NC7o3--N_c4JXfTYmhaF4ktVP4cw95Mq1QE3xOhbTuEKLxfpO3w3InFhXXtd7lApFBQkdn4iCoY0Q
2021/12/15 12:50:34; Get report; Success; 200; ;Get report success!
2021/12/15 12:50:34; Get Task List; Success; 200; 200; page=1 limit=1000 keywords= sortby=0 taskstatus=3; get task list success! task list size=50
2021/12/15 12:50:34; Findout FW; Success; ; ; taskname= ; found 50 taskid by tasknametask id list = 85, 84, 83, 82, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 55, 53, 50, 49, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 29, 27, 21, 20, 15, 14, 13, 12, 11, 10, 9
2021/12/15 12:50:34; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 12:50:58; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0Mzg1OCwiZXhwIjoxNjM5NjMwMjU4fQ.eyJ1c2VybmFtZSI6InFwYiJ9.V7SuANMcopgsSH-gbiOIQYWnYh0OKBycV1vymGQqEAeC7dvjvoKpdJYCCLwOhskb14cNDUAHgHcb-Et10oEj-g
2021/12/15 12:51:00; Get report; Success; 200; ;Get report success!
2021/12/15 12:51:00; Get Task List; Success; 200; 200; page=1 limit=1000 keywords= sortby=0 taskstatus=3; get task list success! task list size=50
2021/12/15 12:51:00; Findout FW; Success; ; ; taskname= ; found 50 taskid by tasknametask id list = 85, 84, 83, 82, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 55, 53, 50, 49, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 29, 27, 21, 20, 15, 14, 13, 12, 11, 10, 9
2021/12/15 12:51:00; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 12:51:30; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0Mzg5MCwiZXhwIjoxNjM5NjMwMjkwfQ.eyJ1c2VybmFtZSI6InFwYiJ9.ryUjCF3LS2d1xqGX-NJaQiFSKLXkV-hbhFwdeTCSjFbODXukA9gp1utrZyXLx4aIZ7W9ahkMXS2OXDB-yS-a3g
2021/12/15 12:59:58; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NDM5OCwiZXhwIjoxNjM5NjMwNzk4fQ.eyJ1c2VybmFtZSI6InFwYiJ9.KchpcgV3aWdvhKAiKvxKJXvtt5rx-XZ4CmIcW5WNMbrDVSE0KqM6Opa9m_zAy4rsl09r_8kTMGAKhAZYHbsjWA
2021/12/15 13:00:00; Get Task List; Success; 200; 200; page=1 limit=1000 keywords= sortby=0 taskstatus=3; get task list success! task list size=50
2021/12/15 13:03:21; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NDYwMCwiZXhwIjoxNjM5NjMxMDAwfQ.eyJ1c2VybmFtZSI6InFwYiJ9.Ra74P6nKAfBhKtojflsviG1Iv3vahMHhuZ2kMnPanIxdPkROYWWcF6lM1B4IE12ZFG-B4PsrfBVqR9jHOfWEUA
2021/12/15 13:03:23; Get report; Success; 200; ;Get report success!
2021/12/15 13:03:23; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 13:07:01; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NDgyMCwiZXhwIjoxNjM5NjMxMjIwfQ.eyJ1c2VybmFtZSI6InFwYiJ9.Dzq-wTjQ59S446byou_3FPsL0jFRL5Z2684GCrJ1RHIzQssXKFEjw1Dq8GMsT82WBH2EufgW5OdqT5Hp697hfA
2021/12/15 13:07:03; Get report; Success; 200; ;Get report success!
2021/12/15 13:07:03; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 13:10:30; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NTAyOSwiZXhwIjoxNjM5NjMxNDI5fQ.eyJ1c2VybmFtZSI6InFwYiJ9.P2EdG9A3YvoJc5j33hIJr4J8UKjkGqGRrEzaSYrzj7YLXO7SnhrXzw-U4OL6ucnnJVeg9YyqIbMzHCbhgspIoQ
2021/12/15 13:17:09; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NTQyOCwiZXhwIjoxNjM5NjMxODI4fQ.eyJ1c2VybmFtZSI6InFwYiJ9.HzANITHW6nvjAwFxJkvK_mErfvpv9jX4Ec2n03BL6_yY4ofk7tj2UeIqVN1MjiPsZ-NiMFVDm3bGn9P0vFIOkg
2021/12/15 13:17:11; Get report; Failed; 200; ;AttributeError("'str' object has no attribute 'decode'")
2021/12/15 13:17:11; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 13:17:33; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NTQ1MiwiZXhwIjoxNjM5NjMxODUyfQ.eyJ1c2VybmFtZSI6InFwYiJ9.EnThZ2Mjx8MNP5BbVQXyVqQd_AtSqNp4HihPgzI8AybOcgs51j6JWRzX_kvLoymvT95yIrjHFVw-wGOJLp2dyQ
2021/12/15 13:17:35; Get report; Failed; 200; ;AttributeError("'str' object has no attribute 'decode'")
2021/12/15 13:17:36; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 13:18:42; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NTUyMiwiZXhwIjoxNjM5NjMxOTIyfQ.eyJ1c2VybmFtZSI6InFwYiJ9.Ows40rjzYRhUqzBkRdyRpN48TnwnXwOrpy8csrQ7sw1nKTB8qdlhCWJaypD7nmA74BaSdI1vvb3aGThI44OqgA
2021/12/15 13:18:45; Get report; Failed; 200; ;AttributeError("'str' object has no attribute 'decode'")
2021/12/15 13:18:45; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 13:22:43; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NTc2MiwiZXhwIjoxNjM5NjMyMTYyfQ.eyJ1c2VybmFtZSI6InFwYiJ9.Aa0jMXxSuwywuyn5x-uikUWSQ-8Sj9KqSWeJI1slNVoALOQ7vS5iBCpq6bgx_Ll1ohOQMRoTx0VbjMLedJC5Gg
2021/12/15 13:22:45; Get report; Success; 200; ;Get report success!
2021/12/15 13:22:45; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 13:26:17; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NTk3NiwiZXhwIjoxNjM5NjMyMzc2fQ.eyJ1c2VybmFtZSI6InFwYiJ9.hA9ITqLjKHjRZH3tQLp6JuUagux9hHeasRQQYXXg-JDsIYBrKGD2Ip_lDmp3-3lWEtbzVfQ7_8zKblxugnl0-w
2021/12/15 13:26:19; Get report; Failed; 200; ;AttributeError("'str' object has no attribute 'decode'")
2021/12/15 13:26:19; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 13:29:40; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NjE3OSwiZXhwIjoxNjM5NjMyNTc5fQ.eyJ1c2VybmFtZSI6InFwYiJ9.nQiySAXeQ_NYT3utaO-B4PHqh4PwhYajAv5wEanrV_tUcrNFPAiIn6XIUm_9hH9J8llDszlyTJyBjQA8zCXNpQ
2021/12/15 13:29:42; Get report; Failed; 200; ;LookupError('unknown encoding: unicode-scape')
2021/12/15 13:29:42; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 13:30:52; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0NjI1MSwiZXhwIjoxNjM5NjMyNjUxfQ.eyJ1c2VybmFtZSI6InFwYiJ9.UPR3MHzPJWjXtJmu9ivpJe8z1M8kNgghpju9deCXxbgg28u-Hgn-pK8A2WYuvWHIvrGvQFk1r-zdGY-lMlXFCw
2021/12/15 13:30:54; Get report; Failed; 200; ;LookupError('unknown encoding: unicode-scape')
2021/12/15 13:30:54; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 14:05:58; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0ODM1OCwiZXhwIjoxNjM5NjM0NzU4fQ.eyJ1c2VybmFtZSI6InFwYiJ9.kH1smh18UHloDb1yMNev16fpRnrl4Kg8Hv9wkxhCqRzQANsNakulhh7mCvBpciD63nZMKKu_Q8EWkAhQnyTFeA
2021/12/15 14:06:01; Get report; Failed; 200; ;LookupError('unknown encoding: unicode-scape')
2021/12/15 14:06:01; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 14:07:29; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0ODQ0OCwiZXhwIjoxNjM5NjM0ODQ4fQ.eyJ1c2VybmFtZSI6InFwYiJ9.xMc2H1FtKDeRLn6KAZiA1gxZj_6zD9R3LSsNaNlfUN3CzQyksU88h7eqRFTbFjTX9y7jXvgEndmg5NQeaJenxw
2021/12/15 14:07:31; Get report; Failed; 200; ;LookupError('unknown encoding: unicode-scape')
2021/12/15 14:07:31; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 14:08:00; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0ODQ3OSwiZXhwIjoxNjM5NjM0ODc5fQ.eyJ1c2VybmFtZSI6InFwYiJ9.qxTu1Au1zxq9-X6VDLCFkkuW33H6Aw1Mzq9pZwRZkZx9aNCZtPhpCO5q1NAgg6G3kdlaPu9NfoqKRgTFET25Ug
2021/12/15 14:08:02; Get report; Success; 200; ;Get report success!
2021/12/15 14:08:02; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 14:08:38; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0ODUxNywiZXhwIjoxNjM5NjM0OTE3fQ.eyJ1c2VybmFtZSI6InFwYiJ9.nkbmVC-Z1ky3Js7ldRBictqdW9nk9dsn5xSC691LbE6EKCit23VmNjE5rx2UCACWbru_5upudNoSpedzehpWmA
2021/12/15 14:08:40; Get report; Failed; 200; ;LookupError('unknown encoding: unicode')
2021/12/15 14:08:40; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 14:09:33; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0ODU3MiwiZXhwIjoxNjM5NjM0OTcyfQ.eyJ1c2VybmFtZSI6InFwYiJ9.JDQF61iE5P5HKG1reQOS-e141XPh8hD8gJoMlrDkeDnNe8tkdBjOy-csbmGNDUHUPwMsOWWNDVB-Q60tS-zEmg
2021/12/15 14:11:11; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0ODY3MCwiZXhwIjoxNjM5NjM1MDcwfQ.eyJ1c2VybmFtZSI6InFwYiJ9.4skM5SFihsxUdReFHB2UIS0UxSJjLc_GxfxJAEbLg2BuDz5ApA5zY9Of3zcbUhi5LxrwwdzvHebP74AFqde8Kg
2021/12/15 14:16:28; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0ODk4NywiZXhwIjoxNjM5NjM1Mzg3fQ.eyJ1c2VybmFtZSI6InFwYiJ9.yQNHeIqebr2XvTPHs4CCNupUOdqkBo92di2-ZD0gO_uVZQ8KHPSy5lU2bKSSaBfVYRR_Ezepl-p4lYKX_FS0yQ
2021/12/15 14:16:30; Get report; Failed; 200; ;TypeError("a bytes-like object is required, not 'str'")
2021/12/15 14:16:30; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 14:17:14; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0OTAzMywiZXhwIjoxNjM5NjM1NDMzfQ.eyJ1c2VybmFtZSI6InFwYiJ9.Vk8aYhci-FNB9LJBIoGxFU4SToGrgOVup9w8FAtuJ7HxA9mmqr4qaN5EWRPjQCXTl7IblBfI8Lp-pCFe3b1k6A
2021/12/15 14:17:16; Get report; Success; 200; ;Get report success!
2021/12/15 14:17:16; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
2021/12/15 14:18:05; Login; Success; 200; 200; user=qpb, password=123456; login success! user=qpb password=123456 Token=Token eyJhbGciOiJIUzUxMiIsImlhdCI6MTYzOTU0OTA4NCwiZXhwIjoxNjM5NjM1NDg0fQ.eyJ1c2VybmFtZSI6InFwYiJ9.fR2de1x1Uv2KoJAe38NLePQdaK5OJtkZGEEA5hpVc97yzeUJpx1K3lKibnhvAiE7bD_m3FpUU-C6BMviMb1P9g
2021/12/15 14:18:07; Get report; Success; 200; ;Get report success!
2021/12/15 14:18:07; Logout; Success; 200; 200;  ; logout success! user=qpb password=123456
